timestamp,temperature,precipitation
2024-08-01 08:00:00,22,0
2024-08-01 09:00:00,24,0
2024-08-01 10:00:00,26,0
2024-08-01 11:00:00,28,0
2024-08-01 12:00:00,29,0.1
2024-08-01 13:00:00,30,0.2
2024-08-01 14:00:00,31,0.1
2024-08-01 15:00:00,32,0
2024-08-01 16:00:00,33,0
2024-08-01 17:00:00,30,0.3
2024-08-01 18:00:00,28,0.1
2024-08-01 19:00:00,25,0
2024-08-02 08:00:00,22,0
2024-08-02 09:00:00,24,0
2024-08-02 10:00:00,26,0
2024-08-02 11:00:00,28,0
2024-08-02 12:00:00,29,0.1
2024-08-02 13:00:00,30,0.2
2024-08-02 14:00:00,31,0.1
2024-08-02 15:00:00,32,0
2024-08-02 16:00:00,33,0
2024-08-02 17:00:00,30,0.3
2024-08-02 18:00:00,28,0.1
2024-08-02 19:00:00,25,0
